config_component_id,configuration_id,component_type,component_id,active,activation_mode,retained_added_closed,controllable,source_model_status,selected_model_status,topology_decision_id,source_card_ids,source_locator,evidence_link_ids,value_status,source_status,human_review_required,caveat
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Store__crude_steel_or_slab_wip_store,C1_phase1_BF_BOF_plus_DRP_EAF,Store,crude_steel_or_slab_wip_store,true,boundary_or_candidate,retained,false,source_model_store,candidate,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-S32-ATHANASIADIS-SLAB-YARD,Athanasiadis public thesis slab storage limit; S32 selected dev input,EL_00169,candidate,candidate,true,"Slab capacity is public-thesis-derived, not Tata-exact; thermal-state policy unresolved."
C0_current_BF_BOF_reference__Store__hot_slab_transfer_buffer,C0_current_BF_BOF_reference,Store,hot_slab_transfer_buffer,true,boundary_or_candidate,retained,false,source_model_transfer,deferred,TOPO_COMMON_SITE_BOUNDARY,REPO-STEEL-FREEZE-V1,S2.13 hot/cold route governance,EL_00170,missing_blocker,missing_blocker,true,Hot slab residence and thermal policy missing.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Store__hot_slab_transfer_buffer,C1_phase1_BF_BOF_plus_DRP_EAF,Store,hot_slab_transfer_buffer,true,boundary_or_candidate,retained,false,source_model_transfer,deferred,TOPO_COMMON_SITE_BOUNDARY,REPO-STEEL-FREEZE-V1,S2.13 hot/cold route governance,EL_00171,missing_blocker,missing_blocker,true,Hot slab residence and thermal policy missing.
C0_current_BF_BOF_reference__Store__oxygen_buffer,C0_current_BF_BOF_reference,Store,oxygen_buffer,true,boundary_or_candidate,retained,false,physical buffer evidenced,deferred,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,MER oxygen buffer context,EL_00172,missing_blocker,missing_blocker,true,Oxygen storage capacity missing.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Store__oxygen_buffer,C1_phase1_BF_BOF_plus_DRP_EAF,Store,oxygen_buffer,true,boundary_or_candidate,retained,false,physical buffer evidenced,deferred,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,MER oxygen buffer context,EL_00173,missing_blocker,missing_blocker,true,Oxygen storage capacity missing.
C0_current_BF_BOF_reference__Store__rolled_steel_target_accumulator,C0_current_BF_BOF_reference,Store,rolled_steel_target_accumulator,true,boundary_or_candidate,retained,false,technical target,false,TOPO_COMMON_SITE_BOUNDARY,REPO-STEEL-FREEZE-V1,Fixed production target policy,EL_00174,validation_only,validation_only,false,Not a flexibility asset.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Store__rolled_steel_target_accumulator,C1_phase1_BF_BOF_plus_DRP_EAF,Store,rolled_steel_target_accumulator,true,boundary_or_candidate,retained,false,technical target,false,TOPO_COMMON_SITE_BOUNDARY,REPO-STEEL-FREEZE-V1,Fixed production target policy,EL_00175,validation_only,validation_only,false,Not a flexibility asset.
C0_current_BF_BOF_reference__Store__DRI_buffer,C0_current_BF_BOF_reference,Store,DRI_buffer,true,boundary_or_candidate,added,false,source_model_buffer,candidate,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0021;S3_4_GUARDRAIL_BADARINATH_2025;REPO-S4-4B-DEV-INPUTS,S4.4b C1_DRI_BUFFER; derived from 48 h times DRP output; Badarinath buffer precedent,EL_00176,candidate,candidate,true,"Derived development candidate, not published Tata DRI storage."
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Store__DRI_buffer,C1_phase1_BF_BOF_plus_DRP_EAF,Store,DRI_buffer,true,boundary_or_candidate,added,false,source_model_buffer,candidate,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0021;S3_4_GUARDRAIL_BADARINATH_2025;REPO-S4-4B-DEV-INPUTS,S4.4b C1_DRI_BUFFER; derived from 48 h times DRP output; Badarinath buffer precedent,EL_00177,candidate,candidate,true,"Derived development candidate, not published Tata DRI storage."
C0_current_BF_BOF_reference__Store__CO2_accounting_accumulator,C0_current_BF_BOF_reference,Store,CO2_accounting_accumulator,true,boundary_or_candidate,retained,false,accounting flow,false,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0003,MRR accounting boundary,EL_00178,validation_only,validation_only,false,Not a flexibility buffer.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Store__CO2_accounting_accumulator,C1_phase1_BF_BOF_plus_DRP_EAF,Store,CO2_accounting_accumulator,true,boundary_or_candidate,retained,false,accounting flow,false,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0003,MRR accounting boundary,EL_00179,validation_only,validation_only,false,Not a flexibility buffer.
C0_current_BF_BOF_reference__Store__COG_gas_holder,C0_current_BF_BOF_reference,Store,COG_gas_holder,true,boundary_or_candidate,retained,false,network buffering,deferred,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM;STEEL-SC-0016,Gas network and KGF topology,EL_00180,missing_blocker,missing_blocker,true,COG holder capacity not public.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Store__COG_gas_holder,C1_phase1_BF_BOF_plus_DRP_EAF,Store,COG_gas_holder,true,boundary_or_candidate,retained,false,network buffering,deferred,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM;STEEL-SC-0016,Gas network and KGF topology,EL_00181,missing_blocker,missing_blocker,true,COG holder capacity not public.
C0_current_BF_BOF_reference__Store__BFG_gas_holder,C0_current_BF_BOF_reference,Store,BFG_gas_holder,true,boundary_or_candidate,retained,false,network buffering,deferred,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM;STEEL-SC-0016,Gas network and BF topology,EL_00182,missing_blocker,missing_blocker,true,BFG holder capacity evidence missing.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Store__BFG_gas_holder,C1_phase1_BF_BOF_plus_DRP_EAF,Store,BFG_gas_holder,true,boundary_or_candidate,retained,false,network buffering,deferred,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM;STEEL-SC-0016,Gas network and BF topology,EL_00183,missing_blocker,missing_blocker,true,BFG holder capacity evidence missing.
C0_current_BF_BOF_reference__Store__BOFG_gas_holder,C0_current_BF_BOF_reference,Store,BOFG_gas_holder,true,boundary_or_candidate,retained,false,explicit oxygas holder structure,candidate,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016;STEEL-SC-0001,MER oxygas holder; JRC BOFG gasholder table,EL_00184,missing_blocker,missing_blocker,true,Oxygas holder exists structurally; capacity and flare limit missing.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Store__BOFG_gas_holder,C1_phase1_BF_BOF_plus_DRP_EAF,Store,BOFG_gas_holder,true,boundary_or_candidate,retained,false,explicit oxygas holder structure,candidate,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016;STEEL-SC-0001,MER oxygas holder; JRC BOFG gasholder table,EL_00185,missing_blocker,missing_blocker,true,Oxygas holder exists structurally; capacity and flare limit missing.
C0_current_BF_BOF_reference__Store__steam_storage,C0_current_BF_BOF_reference,Store,steam_storage,true,boundary_or_candidate,retained,false,not evidenced,false,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-006,EL_00186,deferred,deferred,true,Steam defaults to instantaneous utility bus unless storage evidence is added.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Store__steam_storage,C1_phase1_BF_BOF_plus_DRP_EAF,Store,steam_storage,true,boundary_or_candidate,retained,false,not evidenced,false,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-006,EL_00187,deferred,deferred,true,Steam defaults to instantaneous utility bus unless storage evidence is added.
C0_current_BF_BOF_reference__Load__residual_electricity_load,C0_current_BF_BOF_reference,Load,residual_electricity_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016;STEEL-SC-0017,MER annual electricity anchors only,EL_00188,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Load__residual_electricity_load,C1_phase1_BF_BOF_plus_DRP_EAF,Load,residual_electricity_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016;STEEL-SC-0017,MER annual electricity anchors only,EL_00189,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C0_current_BF_BOF_reference__Load__residual_natural_gas_load,C0_current_BF_BOF_reference,Load,residual_natural_gas_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016;STEEL-SC-0017,MER annual gas anchors only,EL_00190,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Load__residual_natural_gas_load,C1_phase1_BF_BOF_plus_DRP_EAF,Load,residual_natural_gas_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016;STEEL-SC-0017,MER annual gas anchors only,EL_00191,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C0_current_BF_BOF_reference__Load__residual_steam_load,C0_current_BF_BOF_reference,Load,residual_steam_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-006,EL_00192,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Load__residual_steam_load,C1_phase1_BF_BOF_plus_DRP_EAF,Load,residual_steam_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,REPO-ATH-GAS-ADDENDUM,S33I-ATH-GAS-006,EL_00193,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C0_current_BF_BOF_reference__Load__residual_CO2_accounting_flow,C0_current_BF_BOF_reference,Load,residual_CO2_accounting_flow,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0003,MRR accounting,EL_00194,deferred,deferred,true,No hourly profile is created from annual values without an explicit allocation method.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Load__residual_CO2_accounting_flow,C1_phase1_BF_BOF_plus_DRP_EAF,Load,residual_CO2_accounting_flow,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0003,MRR accounting,EL_00195,deferred,deferred,true,No hourly profile is created from annual values without an explicit allocation method.
C0_current_BF_BOF_reference__Load__cold_strip_mill_load,C0_current_BF_BOF_reference,Load,cold_strip_mill_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,Downstream boundary context,EL_00196,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Load__cold_strip_mill_load,C1_phase1_BF_BOF_plus_DRP_EAF,Load,cold_strip_mill_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,Downstream boundary context,EL_00197,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C0_current_BF_BOF_reference__Load__coating_rolling_pressing_load,C0_current_BF_BOF_reference,Load,coating_rolling_pressing_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,Downstream boundary context,EL_00198,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Load__coating_rolling_pressing_load,C1_phase1_BF_BOF_plus_DRP_EAF,Load,coating_rolling_pressing_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,Downstream boundary context,EL_00199,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C0_current_BF_BOF_reference__Load__tata_steel_packaging_load,C0_current_BF_BOF_reference,Load,tata_steel_packaging_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,Residual load boundary context,EL_00200,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Load__tata_steel_packaging_load,C1_phase1_BF_BOF_plus_DRP_EAF,Load,tata_steel_packaging_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,Residual load boundary context,EL_00201,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C0_current_BF_BOF_reference__Load__feedstock_logistics_load,C0_current_BF_BOF_reference,Load,feedstock_logistics_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,Residual load boundary context,EL_00202,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Load__feedstock_logistics_load,C1_phase1_BF_BOF_plus_DRP_EAF,Load,feedstock_logistics_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,Residual load boundary context,EL_00203,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C0_current_BF_BOF_reference__Load__energy_company_load,C0_current_BF_BOF_reference,Load,energy_company_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,S4_ECON_PBL_MIDDEN_STEEL_2019,PBL/MIDDEN utility context,EL_00204,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Load__energy_company_load,C1_phase1_BF_BOF_plus_DRP_EAF,Load,energy_company_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,S4_ECON_PBL_MIDDEN_STEEL_2019,PBL/MIDDEN utility context,EL_00205,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C0_current_BF_BOF_reference__Load__third_party_large_loads,C0_current_BF_BOF_reference,Load,third_party_large_loads,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,MER boundary context,EL_00206,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Load__third_party_large_loads,C1_phase1_BF_BOF_plus_DRP_EAF,Load,third_party_large_loads,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,MER boundary context,EL_00207,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C0_current_BF_BOF_reference__Load__third_party_small_loads,C0_current_BF_BOF_reference,Load,third_party_small_loads,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,MER boundary context,EL_00208,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Load__third_party_small_loads,C1_phase1_BF_BOF_plus_DRP_EAF,Load,third_party_small_loads,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,MER boundary context,EL_00209,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C0_current_BF_BOF_reference__Load__linde_gts_residual_load,C0_current_BF_BOF_reference,Load,linde_gts_residual_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,Linde/ASU boundary context,EL_00210,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Load__linde_gts_residual_load,C1_phase1_BF_BOF_plus_DRP_EAF,Load,linde_gts_residual_load,true,boundary_or_candidate,retained,false,residual_load_or_accounting,profile_missing_until_reviewed,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,Linde/ASU boundary context,EL_00211,missing_blocker,missing_blocker,true,No hourly profile is created from annual values without an explicit allocation method.
C0_current_BF_BOF_reference__Generator__coal_supply,C0_current_BF_BOF_reference,Generator,coal_supply,true,boundary_or_candidate,retained,false,external_source,boundary_source_no_price,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,Boundary/source context; no economic coefficients in this workbook,EL_00212,source_supported,source_supported,false,"Generator means external physical source only. Prices, marginal costs, revenues and tariffs are excluded."
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Generator__coal_supply,C1_phase1_BF_BOF_plus_DRP_EAF,Generator,coal_supply,true,boundary_or_candidate,retained,false,external_source,boundary_source_no_price,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,Boundary/source context; no economic coefficients in this workbook,EL_00213,source_supported,source_supported,false,"Generator means external physical source only. Prices, marginal costs, revenues and tariffs are excluded."
C0_current_BF_BOF_reference__Generator__iron_ore_supply,C0_current_BF_BOF_reference,Generator,iron_ore_supply,true,boundary_or_candidate,retained,false,external_source,boundary_source_no_price,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,Boundary/source context; no economic coefficients in this workbook,EL_00214,source_supported,source_supported,false,"Generator means external physical source only. Prices, marginal costs, revenues and tariffs are excluded."
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Generator__iron_ore_supply,C1_phase1_BF_BOF_plus_DRP_EAF,Generator,iron_ore_supply,true,boundary_or_candidate,retained,false,external_source,boundary_source_no_price,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,Boundary/source context; no economic coefficients in this workbook,EL_00215,source_supported,source_supported,false,"Generator means external physical source only. Prices, marginal costs, revenues and tariffs are excluded."
C0_current_BF_BOF_reference__Generator__imported_pellets_supply,C0_current_BF_BOF_reference,Generator,imported_pellets_supply,true,boundary_or_candidate,retained,false,external_source,boundary_source_no_price,TOPO_COMMON_SITE_BOUNDARY,REPO-S4-4B2-WORKBOOK,Boundary/source context; no economic coefficients in this workbook,EL_00216,source_supported,source_supported,false,"Generator means external physical source only. Prices, marginal costs, revenues and tariffs are excluded."
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Generator__imported_pellets_supply,C1_phase1_BF_BOF_plus_DRP_EAF,Generator,imported_pellets_supply,true,boundary_or_candidate,retained,false,external_source,boundary_source_no_price,TOPO_COMMON_SITE_BOUNDARY,REPO-S4-4B2-WORKBOOK,Boundary/source context; no economic coefficients in this workbook,EL_00217,source_supported,source_supported,false,"Generator means external physical source only. Prices, marginal costs, revenues and tariffs are excluded."
C0_current_BF_BOF_reference__Generator__scrap_supply,C0_current_BF_BOF_reference,Generator,scrap_supply,true,boundary_or_candidate,retained,false,external_source,boundary_source_no_price,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0021,Boundary/source context; no economic coefficients in this workbook,EL_00218,source_supported,source_supported,false,"Generator means external physical source only. Prices, marginal costs, revenues and tariffs are excluded."
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Generator__scrap_supply,C1_phase1_BF_BOF_plus_DRP_EAF,Generator,scrap_supply,true,boundary_or_candidate,retained,false,external_source,boundary_source_no_price,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0021,Boundary/source context; no economic coefficients in this workbook,EL_00219,source_supported,source_supported,false,"Generator means external physical source only. Prices, marginal costs, revenues and tariffs are excluded."
C0_current_BF_BOF_reference__Generator__electricity_grid_import,C0_current_BF_BOF_reference,Generator,electricity_grid_import,true,boundary_or_candidate,retained,false,external_source,boundary_source_no_price,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016;STEEL-SC-0017,Boundary/source context; no economic coefficients in this workbook,EL_00220,source_supported,source_supported,true,"Generator means external physical source only. Prices, marginal costs, revenues and tariffs are excluded."
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Generator__electricity_grid_import,C1_phase1_BF_BOF_plus_DRP_EAF,Generator,electricity_grid_import,true,boundary_or_candidate,retained,false,external_source,boundary_source_no_price,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016;STEEL-SC-0017,Boundary/source context; no economic coefficients in this workbook,EL_00221,source_supported,source_supported,true,"Generator means external physical source only. Prices, marginal costs, revenues and tariffs are excluded."
C0_current_BF_BOF_reference__Generator__natural_gas_import,C0_current_BF_BOF_reference,Generator,natural_gas_import,true,boundary_or_candidate,retained,false,external_source,boundary_source_no_price,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016;STEEL-SC-0017,Boundary/source context; no economic coefficients in this workbook,EL_00222,source_supported,source_supported,true,"Generator means external physical source only. Prices, marginal costs, revenues and tariffs are excluded."
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Generator__natural_gas_import,C1_phase1_BF_BOF_plus_DRP_EAF,Generator,natural_gas_import,true,boundary_or_candidate,retained,false,external_source,boundary_source_no_price,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016;STEEL-SC-0017,Boundary/source context; no economic coefficients in this workbook,EL_00223,source_supported,source_supported,true,"Generator means external physical source only. Prices, marginal costs, revenues and tariffs are excluded."
C0_current_BF_BOF_reference__Generator__oxygen_backup_supply,C0_current_BF_BOF_reference,Generator,oxygen_backup_supply,true,boundary_or_candidate,retained,false,external_source,boundary_source_no_price,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,Boundary/source context; no economic coefficients in this workbook,EL_00224,deferred,deferred,true,"Generator means external physical source only. Prices, marginal costs, revenues and tariffs are excluded."
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Generator__oxygen_backup_supply,C1_phase1_BF_BOF_plus_DRP_EAF,Generator,oxygen_backup_supply,true,boundary_or_candidate,retained,false,external_source,boundary_source_no_price,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0016,Boundary/source context; no economic coefficients in this workbook,EL_00225,deferred,deferred,true,"Generator means external physical source only. Prices, marginal costs, revenues and tariffs are excluded."
C0_current_BF_BOF_reference__Generator__residual_CO2_source,C0_current_BF_BOF_reference,Generator,residual_CO2_source,true,boundary_or_candidate,retained,false,external_source,boundary_source_no_price,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0003,Boundary/source context; no economic coefficients in this workbook,EL_00226,deferred,deferred,true,"Generator means external physical source only. Prices, marginal costs, revenues and tariffs are excluded."
C1_phase1_hybrid_BF_BOF_NG_DRP_EAF__Generator__residual_CO2_source,C1_phase1_BF_BOF_plus_DRP_EAF,Generator,residual_CO2_source,true,boundary_or_candidate,retained,false,external_source,boundary_source_no_price,TOPO_COMMON_SITE_BOUNDARY,STEEL-SC-0003,Boundary/source context; no economic coefficients in this workbook,EL_00227,deferred,deferred,true,"Generator means external physical source only. Prices, marginal costs, revenues and tariffs are excluded."
